,Год,Зарплата,Зарплата C#-программист,Кол-во вакнсий,Кол-во вакнсий C#-программист
0,2003,41515,24031,801,4
1,2004,43364,33380,3206,14
2,2005,45284,39385,6533,19
3,2006,40858,46844,15414,147
4,2007,43404,49785,25127,248
5,2008,47081,53490,40482,456
6,2009,44181,53971,29819,272
7,2010,43783,53435,50435,643
8,2011,46253,57492,74014,943
9,2012,47355,61381,91130,1232
10,2013,48618,66504,123957,1525
11,2014,49379,69452,134878,1550
12,2015,51868,74802,140673,1627
13,2016,58964,82544,170206,1974
14,2017,59201,88960,196086,2462
15,2018,61193,98453,273802,3435
16,2019,68501,106417,258315,3364
17,2020,71647,116074,287567,3186
18,2021,81158,137663,439457,4561
19,2022,90013,155607,463352,3210
20,2023,97354,158429,305388,2042
